主事件标题,事件标题,时间,地点,涉事方,关键动作,总触达量,链接1,链接2,链接3,链接4,链接5,链接6,链接7,链接8,链接9,链接10,链接11,链接12,链接13,链接14,链接15,链接16,链接17,链接18,链接19,链接20,链接21,链接22,链接23,链接24,链接25,链接26,链接27,链接28,链接29,链接30,链接31,链接32,链接33,链接34,链接35,链接36,链接37,链接38,链接39,链接40,链接41,链接42,链接43,链接44,链接45,链接46,链接47,链接48,链接49,链接50,链接51,链接52,链接53,链接54,链接55,链接56,链接57,链接58,链接59,链接60,链接61,链接62,链接63,链接64,链接65,链接66,链接67,链接68,链接69,链接70,链接71,链接72,链接73,链接74,链接75,链接76,链接77,链接78,链接79,链接80,链接81,链接82,链接83,链接84,链接85,链接86,链接87,链接88,链接89,链接90,链接91,链接92,链接93,链接94,链接95,链接96,链接97,链接98,链接99,链接100,链接101,链接102,链接103,链接104,链接105,链接106,链接107,链接108,链接109,链接110,链接111,链接112,链接113,链接114,链接115,链接116,链接117,链接118,链接119,链接120,链接121,链接122,链接123,链接124,链接125,链接126,链接127,链接128,链接129,链接130,链接131,链接132,链接133,链接134,链接135,链接136,链接137,链接138,链接139,链接140,链接141,链接142,链接143,链接144,链接145,链接146,链接147,链接148,链接149,链接150,链接151,链接152,链接153,链接154,链接155,链接156,链接157,链接158,链接159,链接160,链接161,链接162,链接163,链接164,链接165,链接166,链接167,链接168,链接169,链接170,链接171,链接172,链接173,链接174,链接175,链接176,链接177,链接178,链接179,链接180,链接181,链接182,链接183,链接184
菲律宾就南海导弹系统部署问题与中国发生争执并提出归还条件,菲律宾 与 中国 在 南海 就 导弹系统部署 发生 争执,2025-1-31,南海,菲律宾、中国、美国,菲律宾总统小马科斯表示，如果中国停止在南海的侵略行为，菲律宾将归还美国部署在该国的“台风”导弹系统,870463,"""https://x.com/EpochTimes/status/1885141189826879672/photo/1""","""https://apnews.com/article/china-philippines-us-missile-system-d2d7aeeaeef0ea9d93f105ae6614ab02"";""https://chinapower.csis.org/podcasts/the-philippines-perspective-of-chinas-role-in-the-scs/""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾、美国、日本和澳大利亚在南海举行联合军事演习,菲律宾、美国、日本和澳大利亚在南海进行联合军事演习,2025-2-5,菲律宾专属经济区（南海）,菲律宾、美国、日本、澳大利亚、中国,菲律宾武装部队宣布与美国、日本和澳大利亚在菲律宾专属经济区（南海）进行联合军事演习，以应对中国在南海的持续侵略性措施,1587588,"""https://x.com/sentdefender/status/1887015393710997882/photo/1""","""https://x.com/taiwanplusnews/status/1887473856874750373/video/1""","""https://apnews.com/article/south-china-sea-us-philippines-navy-france-japan-c090de061b32e720c575e9f36786811f""","""https://apnews.com/article/south-china-sea-us-philippines-navy-france-japan-c090de061b32e720c575e9f36786811f"";""https://x.com/AsiaMTI/status/1887629848077865122/photo/1""","""https://x.com/USEmbassyPH/status/1887811039737299265/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国海军F/A-18E超级大黄蜂战斗机在南海进行飞行作业,美国在南海进行军事演习,2025-2-5,南海,美国,美国海军F/A-18E超级大黄蜂战斗机在南海进行飞行作业,572420,"""https://x.com/US7thFleet/status/1886942978603651352/photo/1""","""https://x.com/USPacificFleet/status/1886878581227241676/photo/1""","""https://twitter.com/usnavy/status/1927001940422005192"";""https://x.com/USNavy/status/1927001940422005192/video/1""","""https://redstate.com/wardclark/2025/06/01/uss-nimitz-is-conducting-flight-ops-in-the-south-china-sea-and-china-isnt-happy-n2189902""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美英澳三国海军在南海举行联合演习,美国海军、澳大利亚皇家海军和英国皇家海军在南海举行联合演习,2025-2-12,南海,美国海军、澳大利亚皇家海军、英国皇家海军,举行联合演习，包括链接演习、协调机动演习和各种其他联合行动,1047320,"""https://www.cpf.navy.mil/Newsroom/News/Article/4062934/us-australia-and-uk-forces-conduct-joint-combined-operations/"";""https://x.com/USPacificFleet/status/1889426441089286415/photo/1""","""https://www.stripes.com/branches/navy/2025-02-12/navy-south-china-sea-training-16804938.html""","""https://www.c7f.navy.mil/Media/News/Display/Article/4062359/us-australia-and-uk-forces-conduct-joint-combined-operations/"";""https://x.com/US7thFleet/status/1889298004735050077/photo/1""","""https://x.com/visegrad24/status/1890047048667533704/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国空军在南海西沙群岛空域对澳大利亚空军进行不安全拦截,中国人民解放军空军与澳大利亚皇家空军在西沙群岛空域发生不安全拦截事件,2025-2-13,南海西沙群岛空域,中国人民解放军空军、澳大利亚皇家空军,中国人民解放军空军歼-16战斗机在南海西沙群岛空域向澳大利亚皇家空军P-8A巡逻机发射干扰弹，澳大利亚国防部称此举“不安全且不专业”,12485469,https://twitter.com/dana916/statuses/1889988807942123821,"""https://nypost.com/2025/02/13/world-news/australia-criticizes-unsafe-chinese-fighter-jet-interaction-in-south-china-sea/?utm_campaign=nypost&utm_medium=social&utm_source=twitter""","""https://chinaglobalsouth.com/2025/02/13/australia-accuses-china-fighter-jet-of-unsafe-conduct-above-south-china-sea/""","""https://www.bloomberg.com/news/articles/2025-02-13/australia-accuses-pla-jet-of-unsafe-actions-over-south-china-sea?utm_medium=social&utm_source=twitter&utm_campaign=socialflow-organic&cmpid%3D=socialflow-twitter-economics&utm_content=economics""","""https://www.bloomberg.com/news/articles/2025-02-13/australia-accuses-pla-jet-of-unsafe-actions-over-south-china-sea?utm_content=business&utm_medium=social&utm_source=twitter&cmpid=socialflow-twitter-business&utm_campaign=socialflow-organic""","""https://www.abc.net.au/news/2025-02-13/china-pla-fighter-flares-raaf-south-china-sea/104932884"";""https://www.defence.gov.au/news-events/releases/2025-02-13/statement-unsafe-and-unprofessional-interaction-peoples-liberation-army-air-force"";""https://x.com/Byron_Wan/status/1890004160747274473/photo/1""","""https://x.com/MarioNawfal/status/1890315039858422053/photo/1""","""https://www.msn.com/en-ph/news/world/australia-blasts-china-s-unsafe-military-action/ar-AA1yZzNn?ocid=BingNewsVerp""","""https://www.bloomberg.com/news/articles/2025-02-13/australia-accuses-pla-jet-of-unsafe-actions-over-south-china-sea?utm_source=website""","""http://smh.com.au/politics/federal/alarm-over-flares-chinese-vessels-spotted-close-to-australia-20250213-p5lbyg.html"";""https://x.com/PeterCronau/status/1890181010794676421/photo/1""","""https://news.usni.org/2025/02/13/chinese-fighter-harrasses-australian-surviellance-aircraft-over-south-china-sea-officials-say""","""https://www.rfa.org/english/southchinasea/2025/02/14/china-australia-protest-aircraft-ships/"";""https://x.com/RadioFreeAsia/status/1890307595149398195/photo/1""","""https://www.ntd.com/australia-accuses-chinese-fighter-of-endangering-australian-surveillance-plane-over-south-china-sea_1047350.html""","""https://x.com/visegrad24/status/1890085886832046438/photo/1""","""https://www.washingtontimes.com/news/2025/feb/13/australia-accuses-chinese-j-16-endangering-austral/?utm_medium=SocialFlow&utm_campaign=twtnl_x&utm_source=Twitter"";""https://x.com/WashTimes/status/1890240316277456990/photo/1""","""https://www.washingtontimes.com/news/2025/feb/13/australia-accuses-chinese-j-16-endangering-austral/?utm_campaign=twtnl_x&utm_medium=SocialFlow&utm_source=Twitter"";""https://x.com/WashTimes/status/1890210129502515375/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国海军直升机在南海争议区域与菲律宾巡逻机发生近距离接触,中国海军直升机与菲律宾巡逻机在南海发生近距离接触,2025-2-18,南海争议区域,中国海军、菲律宾,中国海军直升机在南海争议区域近距离飞近菲律宾巡逻机,20228958,"""https://abcnews.go.com/International/wireStory/chinese-navy-helicopter-flies-10-feet-philippine-patrol-118915177?cid=social_twitter_abcn""","""https://x.com/visegrad24/status/1892180228157444316/video/1""",https://twitter.com/InsiderGeo/statuses/1892159834704707661,"""https://x.com/US_ShipOfState/status/1891903483118330329/photo/1""","""https://voz.us/en/world/250218/21226/chinese-helicopter-harasses-philippine-government-aircraft-over-the-south-china-sea.html""","""https://www.stripes.com/theaters/asia_pacific/2025-02-18/china-navy-philippines-patrol-plane-16868902.html""","""https://abcnews.go.com/International/wireStory/chinese-navy-helicopter-flies-10-feet-philippine-patrol-118915177?cid=social_twitter_wnt""","""https://www.courthousenews.com/chinese-navy-helicopter-flies-within-10-feet-of-philippine-patrol-plane-over-disputed-shoal/""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国要求菲律宾从南海撤出“台风”中程导弹系统，以避免进一步的错误,中国要求菲律宾从南海撤出“台风”中程导弹系统,2025-2-26,南海,中国、菲律宾,中国要求菲律宾从南海撤出“台风”中程导弹系统，以避免进一步的错误,676756,"""https://twitter.com/PiQSuite/status/1894532624582152226""","""https://www.reuters.com/world/asia-pacific/philippines-should-withdraw-missile-system-south-china-sea-chinese-state-media-2025-02-26/?taid=67be60a81ec5d50001f0721a&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter"";""https://x.com/ReutersWorld/status/1894545984044126463/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾与中国在南海就争议海域进行长期对抗,菲律宾与中国在南海就争议海域进行对抗,2025-2-28,南海,菲律宾、中国,菲律宾长期以来在南海争议海域与中国进行对抗,3554021,"""https://www.newsweek.com/china-france-news-nato-aircraft-carrier-operate-south-china-sea-2037031?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1740675121""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的军事行动和扩张行为表达担忧并寻求国际合作,菲律宾驻华盛顿特使与北京在南海面临“生存威胁”,2025-3-3,南海,菲律宾驻华盛顿特使、北京,菲律宾驻华盛顿特使表示菲律宾在南海面临“生存威胁”,2175030,"""https://www.bloomberg.com/news/articles/2025-03-03/philippines-faces-existential-threat-in-disputed-sea-envoy-says?utm_medium=social&utm_campaign=socialflow-organic&utm_source=twitter&cmpid%3D=socialflow-twitter-markets&utm_content=markets""","""https://www.bloomberg.com/news/articles/2025-03-03/philippines-faces-existential-threat-in-disputed-sea-envoy-says?srnd=phx-latest&embedded-checkout=true""",https://twitter.com/EndGameWW3/statuses/1896418153774956941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的军事行动和扩张行为表达担忧并寻求国际合作,菲律宾与加拿大在南海达成军事协议以应对中国,2025-3-7,南海,菲律宾、加拿大、中国,菲律宾和加拿大达成军事协议，以应对中国在南海的扩张行为,1935532,"""https://x.com/EthanHughe10260/status/1897980537316446636/photo/1""","""https://www.bloomberg.com/news/articles/2025-03-07/canada-philippines-advance-military-pact-amid-china-tensions?utm_campaign=socialflow-organic&utm_medium=social&utm_content=markets&cmpid%3D=socialflow-twitter-markets&utm_source=twitter""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国在南海的军事行动和经济行为引发国际社会关注与批评,中国在南海军事行动并威胁台湾，同时倾销产品,2025-3-9,南海,中国,中国在南海进行军事行动并威胁台湾，同时倾销由廉价劳动力生产的产品,601942,"""https://www.nytimes.com/2025/03/07/world/asia/china-tariffs-us-trump.html?smid=nytcore-ios-share&referringSource=articleShare""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国在南海的军事行动和经济行为引发国际社会关注与批评,英国与中国在南海就中国活动发生言语交锋,2025-3-10,南海,英国、中国,英国外交大臣戴维·拉米对中国在南海的危险和破坏稳定的活动表示担忧,1076966,"""https://x.com/BGatesIsaPyscho/status/1899069085599907869/video/1"";""https://x.com/BGatesIsaPyscho/status/1899069199546298852/video/1""","""https://twitter.com/DavidLammy/status/1899050138003198021"";""https://x.com/DavidLammy/status/1899050138003198021/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国在南海进行两栖登陆演习并部署两栖登陆驳船,中国在南海进行两栖登陆演习,2025-3-13,南海,中国,中国社交媒体图片显示，新建的“入侵驳船”在南海海滩进行两栖登陆演习,1586800,"""https://www.navalnews.com/naval-news/2025/01/china-suddenly-building-fleet-of-special-barges-suitable-for-taiwan-landings/"";""https://x.com/detresfa_/status/1900115119327351238/photo/1""","""https://x.com/visegrad24/status/1900223135812567094/video/1""","""https://x.com/sentdefender/status/1900597625780592866"";""https://x.com/sentdefender/status/1900597625780592866/photo/1"";""https://x.com/ChineseEmbinUS/status/1897132043362034153""","""https://x.com/sentdefender/status/1900597625780592866/photo/1""","""https://x.com/adi_vijaya/status/1900859833919959466/video/1""",https://twitter.com/RadioFreeAsia/statuses/1900946676170265067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
