主事件标题,事件标题,时间,地点,涉事方,关键动作,总推文数,链接1,链接2,链接3,链接4,链接5,链接6,链接7,链接8,链接9,链接10,链接11,链接12,链接13,链接14,链接15,链接16,链接17,链接18,链接19,链接20,链接21,链接22,链接23,链接24,链接25,链接26,链接27,链接28,链接29,链接30,链接31,链接32,链接33,链接34,链接35,链接36,链接37,链接38,链接39,链接40,链接41,链接42,链接43,链接44,链接45,链接46,链接47,链接48,链接49,链接50,链接51,链接52,链接53,链接54,链接55,链接56,链接57,链接58,链接59,链接60,链接61,链接62,链接63,链接64,链接65,链接66,链接67,链接68,链接69,链接70,链接71,链接72,链接73,链接74,链接75,链接76,链接77,链接78,链接79,链接80,链接81,链接82,链接83,链接84,链接85,链接86,链接87,链接88,链接89,链接90,链接91,链接92,链接93,链接94,链接95,链接96,链接97,链接98,链接99,链接100,链接101,链接102,链接103,链接104,链接105,链接106,链接107,链接108,链接109,链接110,链接111,链接112,链接113,链接114,链接115,链接116,链接117,链接118,链接119,链接120,链接121,链接122,链接123,链接124,链接125,链接126,链接127,链接128,链接129,链接130,链接131,链接132,链接133,链接134,链接135,链接136,链接137,链接138,链接139,链接140,链接141,链接142,链接143,链接144,链接145,链接146,链接147,链接148,链接149,链接150,链接151,链接152,链接153,链接154,链接155,链接156,链接157,链接158,链接159,链接160,链接161,链接162,链接163,链接164,链接165,链接166,链接167,链接168,链接169,链接170,链接171,链接172,链接173,链接174,链接175,链接176,链接177,链接178,链接179,链接180,链接181,链接182,链接183,链接184,链接185,链接186,链接187,链接188,链接189,链接190,链接191,链接192,链接193,链接194,链接195,链接196,链接197,链接198,链接199,链接200,链接201,链接202,链接203,链接204,链接205,链接206,链接207,链接208,链接209,链接210,链接211,链接212,链接213,链接214,链接215,链接216,链接217,链接218,链接219,链接220,链接221,链接222,链接223,链接224,链接225,链接226,链接227,链接228,链接229,链接230,链接231,链接232,链接233,链接234,链接235,链接236,链接237,链接238,链接239,链接240,链接241,链接242,链接243,链接244,链接245,链接246,链接247,链接248,链接249,链接250,链接251,链接252,链接253,链接254,链接255,链接256,链接257,链接258,链接259,链接260,链接261,链接262,链接263,链接264,链接265,链接266,链接267,链接268,链接269,链接270,链接271,链接272,链接273,链接274,链接275,链接276,链接277,链接278,链接279,链接280,链接281,链接282
菲律宾就中国在南海的活动提出抗议并引发多方关注,菲律宾海岸警卫队与中国海警在西菲律宾海发生监测与挑战事件,2025/1/8,西菲律宾海,菲律宾海岸警卫队、中国海警,菲律宾海岸警卫队部署PCG Islander监测并挑战中国海警船3103的存在,2,"""https://x.com/PTVph/status/1876920052168937601/video/1""","""https://x.com/nowyouknowph/status/1877507967349641511/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国海军在南海部署航母并进行军事活动,美国海军在南海进行飞行作业,2025/1/8,南海,美国海军,美国海军在南海的卡尔·文森号航空母舰上进行飞行作业,54,"""https://x.com/US7thFleet/status/1876796106606067997/photo/1""","""https://x.com/INDOPACOM/status/1876608976701255722/photo/1""","""https://x.com/US7thFleet/status/1879695143873216759/photo/1""","""https://x.com/USPacificFleet/status/1879957080108593328/photo/1""","""https://www.dvidshub.net/image/8833693/uss-carl-vinson-cvn-70-conducts-routine-operations-south-china-sea"";""https://x.com/USPacificFleet/status/1880370421683659152/photo/1""","""https://x.com/MT_Anderson/status/1880317450992119851/photo/1""","""https://x.com/US7thFleet/status/1880419987275370773/photo/1""","""https://x.com/US7thFleet/status/1880782303552541039/photo/1""","""https://x.com/US7thFleet/status/1881144735789629675/photo/1""","""https://x.com/theF35JPO/status/1881808996732223906/photo/1""","""https://x.com/USPacificFleet/status/1886878581227241676/photo/1""","""https://x.com/US7thFleet/status/1886942978603651352/photo/1""","""https://x.com/OldTexSk8Boardr/status/1886905888427946425/photo/1""","""https://www.navy.mil/Resources/Photo-Gallery/"";""https://x.com/USNavy/status/1887622330660094299/photo/1""","""https://x.com/US7thFleet/status/1887305313944039814/photo/1""","""https://x.com/US7thFleet/status/1888392471782047984/photo/1""","""https://x.com/USNavy/status/1892937502836625438/video/1""","""https://twitter.com/US7thFleet/status/1905787066161525212"";""https://x.com/US7thFleet/status/1905787066161525212/photo/1""","""https://x.com/US7thFleet/status/1905787066161525212/photo/1""","""https://x.com/DeptofDefense/status/1928511734861439299/photo/1""","""https://twitter.com/usnavy/status/1927001940422005192""","""https://x.com/NavalInstitute/status/1931305153547616651/photo/1""","""https://x.com/USNavy/status/1930988158071554058/photo/1""","""https://x.com/US7thFleet/status/1947416471253991774/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,中国与菲律宾在西菲律宾海发生直升机骚扰事件,2025/1/8,西菲律宾海,中国、菲律宾、中国人民解放军海军、BRP Cabra,中国人民解放军海军直升机骚扰在西菲律宾海挑战中国船只的BRP Cabra,5,"""https://x.com/NCorralesINQ/status/1876940662710419810/video/1""",https://twitter.com/PTVph/statuses/1876920058431074809,"""https://x.com/inquirerdotnet/status/1876941989129929133/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,Dimabanwa就西菲律宾海问题警告强硬策略的风险,2025/1/8,西菲律宾海,Dimabanwa,Dimabanwa警告称，在西菲律宾海问题上采取强硬策略可能导致菲律宾失去更多领土,2,"""https://x.com/dimabanwa/status/1876635646787559446/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,MOVEMENT AGAINST DISINFORMATION 讨论弹劾、西菲律宾海和Meta信息安全问题,2025/1/8,西菲律宾海,MOVEMENT AGAINST DISINFORMATION、Meta,MOVEMENT AGAINST DISINFORMATION 讨论了与虚假信息相关的关键问题，包括其对弹劾程序的影响、西菲律宾海局势以及Meta取消虚假信息防护措施的担忧,3,"""https://x.com/iMPACTPH2019/status/1876902668867932602/photo/1""","""https://x.com/tonylavs/status/1876949420425511141/photo/1"";""https://x.com/tonylavs/status/1876949067730739683/photo/1""","""https://x.com/AttyLeiladeLima/status/1877310194180567321/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国海军在南海部署航母并进行军事活动,美国海军在南海进行舰载机起降和海上补给作业,2025/1/9,南海,美国海军,美国海军在南海进行舰载机起降和海上补给作业,3,"""https://www.navy.mil/Resources/Photo-Gallery/"";""https://x.com/USNavy/status/1877113144281076134/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,菲律宾 与 中国 在 南海 发生 主权争端,2025/1/9,南海,菲律宾、中国,中国在南海对菲律宾进行欺凌，威胁菲律宾主权,2,"""https://x.com/arthur_vee/status/1877087354013270333/photo/1""","""https://www.scmp.com/week-asia/politics/article/3293956/south-china-sea-philippines-urged-lean-us-alliance-put-pressure-beijing""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,菲律宾就中国在南海的侵略和扩张主义呼吁东盟采取行动,2025/1/10,南海,菲律宾、中国、东盟,菲律宾认为东盟在应对中国在南海的侵略和扩张主义方面表现软弱，无法依赖其机构来推进菲律宾的原则立场,2,https://twitter.com/cuchapiiin_mk/statuses/1877571620740461007,https://twitter.com/lcmlaw_ph/statuses/1877529595081273818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,日本与菲律宾在西菲律宾海问题上加强合作,2025/1/10,西菲律宾海,日本、菲律宾、中国,日本驻菲律宾大使远藤和也表示，日本和菲律宾将在中国于西菲律宾海采取行动的背景下，加强两国之间的合作水平,2,"""https://www.youtube.com/watch?v=1-grvpCSjPw&feature=youtu.be""","""https://x.com/newswatchplusph/status/1877534365032526020/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,中国与菲律宾在西菲律宾海（帕纳塔格礁）发生非法巡逻行为,2025/1/11,西菲律宾海（帕纳塔格礁）,中国、菲律宾,中国海警派遣两艘船只在西菲律宾海（帕纳塔格礁）进行非法巡逻,2,"""https://www.philstar.com/headlines/2025/01/11/2413324/pcg-continues-challenge-china-trespassing"";""https://x.com/PhilippineStar/status/1877879347320705188/photo/1""","""https://x.com/jaytaryela/status/1879515318470803837/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,菲律宾与中国在西菲律宾海发生无线电挑战,2025/1/11,西菲律宾海（三描礼士海岸）,菲律宾、中国,菲律宾海岸警卫队对中国海岸警卫队船只发出无线电挑战,5,"""https://tnt.abante.com.ph/2025/01/11/pcg-sinita-barko-ng-china/news/""","""https://www.abs-cbn.com/"";""https://x.com/TVPatrol/status/1878043715916152991/video/1""","""https://x.com/PIA_NCR/status/1878988210740879419/photo/1""","""https://x.com/jaytaryela/status/1879515318470803837/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,AMTI和东南亚DC主任Greg Poling就南海仲裁问题提出菲律宾可利用联合国大会投票,2025/1/11,南海,AMTI、东南亚DC、Greg Poling、菲律宾、联合国大会,AMTI和东南亚DC主任Greg Poling认为菲律宾可利用联合国大会投票扩大南海仲裁选项,6,"""https://www.csis.org/analysis/how-slay-giant-reviving-south-china-sea-arbitration""","""https://www.csis.org/analysis/manila-and-beijing-clarify-select-south-china-sea-claims"";""https://x.com/AsiaMTI/status/1878894795101286718/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
